cancer,feature_internal,feature_display,beta,pathways,variant_types,logic,gene,n_altered_train,freq_train,univ_HR,univ_p,abs_logHR,contribution,rank_in_feature
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,RB1,13,0.005,1.035,0.9364716106105473,0.0349,0.0002,1.0
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,CCNE1,2,0.0008,,,,,
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,CDK6,2,0.0008,,,,,
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,CDKN1B,2,0.0008,,,,,
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,CDKN2A,1,0.0004,,,,,
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,CDKN2B,2,0.0008,,,,,
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,binary: any pathway gene with a structural variant,E2F3,1,0.0004,,,,,
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,ARID1B,64,0.0245,1.671,0.002733438539694546,0.5135,0.0126,1.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,ARID2,63,0.0241,1.675,0.0026167045577911987,0.5161,0.0124,2.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,ARID1A,150,0.0574,1.153,0.24545915080498296,0.1423,0.0082,3.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,KDM5C,44,0.0168,1.547,0.03645611846971185,0.436,0.0073,4.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,SMARCA4,55,0.0211,1.41,0.07450481854134415,0.3434,0.0072,5.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,EP300,44,0.0168,1.491,0.04961836903251778,0.3997,0.0067,6.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,KDM6A,57,0.0218,1.352,0.1216744137896764,0.3014,0.0066,7.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,TET1,44,0.0168,1.435,0.08102642639238207,0.3612,0.0061,8.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,KMT2D,87,0.0333,1.197,0.2620655060574022,0.1801,0.006,9.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,BAP1,44,0.0168,1.286,0.2613819321067579,0.2515,0.0042,10.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,BCOR,33,0.0126,1.374,0.20375336010036857,0.3174,0.004,11.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,SETD2,35,0.0134,1.319,0.26366374161298317,0.2769,0.0037,12.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,ASXL2,18,0.0069,1.682,0.10396682452060076,0.5199,0.0036,13.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,SMARCE1,10,0.0038,0.412,0.22434646717348802,0.8864,0.0034,14.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,NSD2,19,0.0073,1.56,0.16014881079992035,0.4449,0.0032,15.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,EZH2,22,0.0084,1.446,0.21565755174279483,0.3687,0.0031,16.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,NSD1,48,0.0184,1.181,0.4385081574826448,0.1667,0.0031,16.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,NCOR1,107,0.041,1.076,0.6166729568788045,0.0731,0.003,18.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,SMARCB1,24,0.0092,1.333,0.30755254170128915,0.2878,0.0026,19.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,CREBBP,69,0.0264,1.091,0.640764220874281,0.0873,0.0023,20.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,KMT2C,203,0.0777,1.03,0.7844017168856598,0.0299,0.0023,20.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,IDH1,10,0.0038,1.512,0.29004199858989477,0.4135,0.0016,22.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,PBRM1,25,0.0096,0.849,0.609155097405516,0.1632,0.0016,22.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,SUZ12,18,0.0069,0.843,0.6736349837566509,0.1709,0.0012,24.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,ATRX,47,0.018,1.04,0.8681023072918626,0.0389,0.0007,25.0
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,composite: z(amp)+z(del)+z(sv)+mut_rate_z over pathway genes,TET2,21,0.008,0.913,0.783565452238989,0.0905,0.0007,25.0
