cancer,feature_internal,feature_display,beta,pathways,variant_types,n_constituent_genes_observed,top1_gene,top1_share_pct,dominance_class,top_genes_by_contribution,top_genes_by_abs_logHR_stable
BRCA,PW_Cell_Cycle_sv_hit,Cell_Cycle_sv_hit,-0.1779452889029172,Cell_Cycle,sv,7,RB1,100.0,single-gene,"RB1(f=0.01,HR=1.03)","RB1(HR=1.03,f=0.01,n=13)"
BRCA,PW_Chromatin_zsum,Chromatin_zsum,-0.0376867913782411,Chromatin,mut/amp/del/sv,33,ARID1B,10.5,multi-gene,"ARID1B(f=0.02,HR=1.67); ARID2(f=0.02,HR=1.68); ARID1A(f=0.06,HR=1.15); KDM5C(f=0.02,HR=1.55); SMARCA4(f=0.02,HR=1.41); EP300(f=0.02,HR=1.49)","SMARCE1(HR=0.41,f=0.00,n=10); ASXL2(HR=1.68,f=0.01,n=18); ARID2(HR=1.68,f=0.02,n=63); ARID1B(HR=1.67,f=0.02,n=64); NSD2(HR=1.56,f=0.01,n=19); KDM5C(HR=1.55,f=0.02,n=44)"
BRCA,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.1287982419490632,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC,mut/amp/del/sv,146,TP53,22.6,multi-gene,"TP53(f=0.46,HR=1.66); ERBB2(f=0.16,HR=0.75); MYC(f=0.12,HR=1.39); FGFR1(f=0.13,HR=1.32); RECQL4(f=0.08,HR=1.49); CCND1(f=0.17,HR=1.17)","ARAF(HR=2.68,f=0.01,n=25); CCND3(HR=2.56,f=0.01,n=18); SMARCE1(HR=0.41,f=0.00,n=10); AKT3(HR=2.38,f=0.01,n=37); ERCC2(HR=2.38,f=0.01,n=22); MYCN(HR=2.38,f=0.01,n=21)"
BRCA,PW_RTK_RAS_amp_hit,RTK_RAS_amp_hit,-0.0748992021830237,RTK_RAS,amp,39,ERBB2,36.0,multi-gene,"ERBB2(f=0.14,HR=0.66); FGFR1(f=0.12,HR=1.29); RIT1(f=0.01,HR=1.90); FGFR2(f=0.02,HR=1.64); EGFR(f=0.01,HR=1.57); KRAS(f=0.01,HR=1.64)","FGFR3(HR=2.80,f=0.01,n=13); JAK2(HR=2.78,f=0.01,n=14); RIT1(HR=1.90,f=0.01,n=37); NTRK1(HR=1.89,f=0.01,n=23); KIT(HR=1.89,f=0.01,n=13); ERBB3(HR=1.78,f=0.00,n=10)"
BRCA,PW_TP53_mut_rate_z,TP53_mut_rate,0.1910569407853244,TP53,mut,5,TP53,95.7,single-gene,"TP53(f=0.45,HR=1.67); ATM(f=0.02,HR=1.35); MDM4(f=0.00,HR=2.25); CHEK2(f=0.01,HR=0.83); MDM2(f=0.00,HR=1.19)","TP53(HR=1.67,f=0.45,n=1171); ATM(HR=1.35,f=0.02,n=58); CHEK2(HR=0.83,f=0.01,n=14)"
LUAD,PW_HIT_COUNT,All_Pathway_Alteration_Count,0.08623152852858,TP53;PI3K;RTK_RAS;Cell_Cycle;Chromatin;DDR;MYC;NOTCH;NRF2,mut/amp/del/sv,158,TP53,17.9,multi-gene,"TP53(f=0.47,HR=1.44); KEAP1(f=0.13,HR=1.66); CDKN2A(f=0.16,HR=1.44); STK11(f=0.15,HR=1.40); CDKN2B(f=0.10,HR=1.58); SMARCA4(f=0.08,HR=1.66)","FGFR3(HR=1.90,f=0.01,n=43); ERF(HR=1.69,f=0.01,n=27); MUTYH(HR=1.68,f=0.01,n=38); SMARCA4(HR=1.66,f=0.08,n=375); KEAP1(HR=1.66,f=0.13,n=618); AKT2(HR=1.63,f=0.02,n=72)"
LUAD,PW_NOTCH_any_rate_z,NOTCH_any_rate,-0.0799126546522201,NOTCH,mut/amp/del,10,EP300,34.9,multi-gene,"EP300(f=0.03,HR=1.34); NCOR1(f=0.03,HR=1.19); NOTCH3(f=0.03,HR=1.12); NOTCH1(f=0.03,HR=0.94); KDM5A(f=0.02,HR=1.06); NOTCH4(f=0.04,HR=1.03)","EP300(HR=1.34,f=0.03,n=117); NCOR1(HR=1.19,f=0.03,n=118); NOTCH3(HR=1.12,f=0.03,n=131); KDM5A(HR=1.06,f=0.02,n=95); NOTCH1(HR=0.94,f=0.03,n=122); FBXW7(HR=0.95,f=0.01,n=67)"
LUAD,PW_NRF2_zsum,NRF2_zsum,0.1115316999404081,NRF2,mut/amp/del/sv,3,KEAP1,88.3,driver-anchored,"KEAP1(f=0.13,HR=1.66); NFE2L2(f=0.02,HR=1.58); CUL3(f=0.02,HR=1.02)","KEAP1(HR=1.66,f=0.13,n=618); NFE2L2(HR=1.58,f=0.02,n=86); CUL3(HR=1.02,f=0.02,n=73)"
LUAD,PW_RTK_RAS_mut_rate_z,RTK_RAS_mut_rate,-0.0777015710712572,RTK_RAS,mut,41,EGFR,33.7,multi-gene,"EGFR(f=0.30,HR=0.86); KRAS(f=0.34,HR=1.04); ERBB2(f=0.04,HR=1.32); SOS1(f=0.01,HR=1.53); IGF1R(f=0.02,HR=1.30); NRAS(f=0.01,HR=1.56)","ERF(HR=1.61,f=0.00,n=19); NRAS(HR=1.56,f=0.01,n=42); SOS1(HR=1.53,f=0.01,n=51); FGFR3(HR=1.44,f=0.01,n=23); ERBB2(HR=1.32,f=0.04,n=193); FGFR2(HR=1.31,f=0.01,n=33)"
LUAD,PW_TP53_any_rate_z,TP53_any_rate,0.1080257770980312,TP53,mut/amp/del,5,TP53,93.5,single-gene,"TP53(f=0.46,HR=1.42); ATM(f=0.08,HR=1.11); MDM2(f=0.07,HR=1.02); MDM4(f=0.01,HR=1.16); CHEK2(f=0.01,HR=1.06)","TP53(HR=1.42,f=0.46,n=2120); MDM4(HR=1.16,f=0.01,n=43); ATM(HR=1.11,f=0.08,n=351); CHEK2(HR=1.06,f=0.01,n=44); MDM2(HR=1.02,f=0.07,n=314)"
